City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
515,gat,31.61,34.7642,9.38,100,90,9.94,IL,1675790021
516,embu,-23.6489,-46.8522,26.73,87,96,2.44,BR,1675790026
517,aranos,-24.1333,19.1167,25.77,47,89,3.81,NA,1675790027
518,road town,18.4167,-64.6167,28.02,74,40,4.12,VG,1675789961
519,ponta do sol,32.6667,-17.1,18.17,57,43,2.85,PT,1675789793
520,lewiston,44.1003,-70.2148,-1.64,45,0,1.69,US,1675789842
521,inverell,-29.7833,151.1167,17.87,81,21,2.24,AU,1675790028
522,puerto rico,-26.796,-55.024,39.12,15,0,0.73,AR,1675790029
523,ust-omchug,61.15,149.6333,-39.13,98,87,1.6,RU,1675790029
524,narsaq,60.9167,-46.05,-18.88,61,81,3.83,GL,1675790030
525,umm lajj,25.0213,37.2685,18.45,57,100,7.34,SA,1675790030
526,bela,25.9333,81.9833,17.67,57,0,3.41,IN,1675789941
527,atar,20.5169,-13.0499,24.74,13,31,6.94,MR,1675790031
528,fairbanks,64.8378,-147.7164,-14.32,82,100,2.06,US,1675790031
529,blagoyevo,63.3667,47.9167,-8.98,93,100,4.52,RU,1675790032
530,lagoa,39.05,-27.9833,13.03,60,73,9.27,PT,1675790032
531,nargana,9.4428,-78.5906,26.77,80,97,7.23,PA,1675790033
532,rantepao,-2.9701,119.8978,18.86,89,96,1.54,ID,1675790033
533,opuwo,-18.0607,13.84,27.67,34,94,7.05,NA,1675790034
534,huamachuco,-7.8,-78.0667,16.58,55,50,3.07,PE,1675790034
535,kjollefjord,70.9457,27.3465,2.9,65,40,19.03,NO,1675790034
536,west wendover,40.7391,-114.0733,-1.44,74,0,0.0,US,1675789861
537,karratha,-20.7377,116.8463,30.54,59,22,3.91,AU,1675790035
538,butembo,0.15,29.2833,17.76,54,68,1.32,CD,1675790035
539,aykhal,66.0,111.5,-37.42,100,99,1.71,RU,1675790036
540,gisborne,-38.6533,178.0042,16.17,85,58,1.99,NZ,1675790036
541,berdigestyakh,62.0989,126.6992,-42.62,100,100,0.61,RU,1675790037
542,aitape,-3.1374,142.3475,24.41,95,100,2.41,PG,1675790037
543,wuda,39.4994,106.7117,-2.1,46,21,3.15,CN,1675790038
544,daura,11.5538,11.4085,29.53,14,28,6.21,NG,1675790038
545,ardakan,32.31,54.0175,14.78,39,16,11.4,IR,1675790038
546,manokwari,-0.8667,134.0833,25.14,88,100,3.81,ID,1675790039
547,pierre,44.3683,-100.351,5.71,65,0,5.14,US,1675790039
548,itarema,-2.9248,-39.9167,29.14,66,100,5.75,BR,1675790040
549,namwala,-15.7504,26.4384,20.34,93,77,1.14,ZM,1675790040
550,lorengau,-2.0226,147.2712,25.99,90,100,6.1,PG,1675789869
551,belen,36.4891,36.2233,1.62,55,42,3.02,TR,1675790041
552,ouesso,1.6136,16.0517,30.23,31,85,0.18,CG,1675790041
553,ponta delgada,37.7333,-25.6667,13.4,88,40,11.32,PT,1675790045
554,ankang,32.68,109.0172,9.85,68,100,3.12,CN,1675790051
555,iquique,-20.2208,-70.1431,26.02,73,50,5.07,CL,1675790057
556,menongue,-14.6585,17.691,19.78,86,97,2.23,AO,1675790063
557,parkes,-33.1333,148.1833,22.42,57,0,2.24,AU,1675790066
558,shingu,33.7333,135.9833,7.54,84,66,2.6,JP,1675790068
559,hangu,39.2489,117.7892,-4.98,58,0,1.04,CN,1675790070
